compression_algo,file_name,image_data_shape,image_data_dtype,image_data_size,compressed_size,ratio,chunks_shape_for_compression,chunk_size_byte,time_to_compress,comp_mb/s,decompression_time,decomp_mb/s,decompression_shape,decompression_chunk_size
lz4,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570613557.6,1.00033,"(1, 1, 512, 128)",131072.0,0.66,870.61,0.58,980.92,"(2176, 2, 512, 128)",131072.0
lz4,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570466952.0,1.00007,"(2, 1, 512, 128)",262144.0,0.53,1067.05,0.59,973.63,"(2176, 2, 512, 128)",262144.0
lz4,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570970292.0,1.00096,"(3, 1, 512, 128)",393216.0,0.48,1183.67,0.53,1077.59,"(2176, 2, 512, 128)",393216.0
lz4,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570394197.6,0.99995,"(4, 1, 512, 128)",524288.0,0.50,1144.71,0.52,1094.31,"(2176, 2, 512, 128)",524288.0
lz4,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,571471127.2,1.00183,"(5, 1, 512, 128)",655360.0,0.47,1217.19,0.53,1081.64,"(2176, 2, 512, 128)",655360.0
lz4,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570922764.0,1.00087,"(6, 1, 512, 128)",786432.0,0.46,1232.28,0.52,1096.77,"(2176, 2, 512, 128)",786432.0
lz4,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570640200.8,1.00038,"(7, 1, 512, 128)",917504.0,0.46,1239.43,0.51,1128.78,"(2176, 2, 512, 128)",917504.0
lz4,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570361293.6,0.99989,"(8, 1, 512, 128)",1048576.0,0.43,1332.16,0.51,1128.58,"(2176, 2, 512, 128)",1048576.0
lz4,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,570986659.2,1.00098,"(9, 1, 512, 128)",1179648.0,0.43,1326.86,0.51,1117.03,"(2176, 2, 512, 128)",1179648.0
lz4,RAW-R0017-AGIPD00-S00003.h5,"(2176, 2, 512, 128)",uint16,570425488,571507291.2,1.00190,"(10, 1, 512, 128)",1310720.0,0.43,1319.50,0.51,1123.20,"(2176, 2, 512, 128)",1310720.0
