Compressor name,Level,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy,0,4774.89,4804.87,12888858400,12888858400,100.00,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -1,3603.16,3573.90,12888858400,8773825431,68.07,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -3,3506.82,3606.99,12888858400,8770689446,68.05,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -5,3177.52,3614.99,12888858400,8770476198,68.05,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -7,2465.82,5313.37,12888858400,8770469876,68.05,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -9,2330.63,5305.37,12888858400,8770469876,68.05,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
bzip2,1.0.8 -1,16.54,29.58,12888858400,8257270740,64.07,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
bzip2,1.0.8 -3,16.73,28.33,12888858400,8262172888,64.10,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
bzip2,1.0.8 -5,16.24,26.59,12888858400,8269180524,64.16,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
bzip2,1.0.8 -7,16.11,26.16,12888858400,8263946572,64.12,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
bzip2,1.0.8 -9,15.49,25.33,12888858400,8263973726,64.12,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
lz4hc,1.9.2 -1,104.16,5622.35,12888858400,8743912755,67.84,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
lz4hc,1.9.2 -3,69.02,5665.06,12888858400,8732074815,67.75,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
lz4hc,1.9.2 -5,58.84,5723.93,12888858400,8720851325,67.66,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
lz4hc,1.9.2 -7,43.56,5764.77,12888858400,8714939496,67.62,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
lz4hc,1.9.2 -9,27.25,5760.64,12888858400,8710284340,67.58,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
lz4hc,1.9.2 -12,17.09,5767.72,12888858400,8703261657,67.53,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
lz4,1.9.2,4602.06,4935.83,12888858400,8817759346,68.41,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
zstd,1.4.3 -1,996.02,1055.03,12888858400,7953412285,61.71,/gpfs/exfel/exp/XMPL/201750/p700000/proc/r0001/CORR-R0017-AGIPD01-S00001.h5
