Compressor name,Level,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
memcpy,0,2442.59,2628.08,8594165714,8594165714,100.00,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -1,3786.70,4133.30,8594165714,8594165714,100.00,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -3,2846.18,3589.41,8594165714,8591671990,99.97,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -5,3043.05,3349.49,8594165714,8591327107,99.97,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -7,3050.77,3397.52,8594165714,8591327061,99.97,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
blosclz,2.0.0 -9,2575.44,3374.27,8594165714,8591327061,99.97,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
bzip2,1.0.8 -1,12.29,27.57,8594165714,5805206512,67.55,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
bzip2,1.0.8 -3,12.53,25.06,8594165714,5768024176,67.12,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
bzip2,1.0.8 -5,12.32,22.86,8594165714,5749640786,66.90,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
bzip2,1.0.8 -7,11.92,22.17,8594165714,5738700455,66.77,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
bzip2,1.0.8 -9,11.69,21.88,8594165714,5732293355,66.70,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
lz4hc,1.9.2 -1,72.09,2132.92,8594165714,8502586960,98.93,/gpfs/exfel/exp/XMPL/201750/p700000/raw/r0001/RAW-R0017-AGIPD01-S00001.h5
